RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.61663385,0.61714210,1.87443819,0.76332708,100,158.14146839
2,0.84292277,0.65126028,2.40754125,1.29643014,100,165.54986021
3,3.53219333,0.86711386,5.55112461,4.44001350,100,124.91127010
4,0.71184630,0.65554002,2.15982041,1.04870930,100,155.79641501
5,2.14840391,0.82059158,4.03456933,2.92345822,100,139.68089803
6,4.16296841,0.86292280,6.55821008,5.44709897,100,145.82854358
7,2.48717690,0.69955194,4.31411599,3.20300488,100,131.32971955
8,1.50003062,0.70214636,3.21583054,2.10471943,100,141.18284738
9,1.36736243,0.63931738,3.41722031,2.30610920,100,166.02097317
10,3.42986286,0.83041668,6.08289343,4.97178232,100,125.63417468
