RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.77379339,0.58620982,1.95003464,1.11670131,10000,14333.72841386
2,0.80490322,0.58114534,1.97810640,1.14477307,10000,14271.27377145
3,0.80778944,0.58012323,1.99045315,1.15711981,10000,14341.59521628
4,0.85985264,0.59083707,2.05736503,1.22403170,10000,14183.88543223
5,0.84025096,0.58072026,2.03689731,1.20356398,10000,14333.53564567
6,0.78574219,0.58205349,1.93561523,1.10228190,10000,14151.94315965
7,0.93575034,0.60315135,2.15518109,1.32184776,10000,14004.59544382
8,0.84532343,0.59218932,2.03558462,1.20225129,10000,14159.95914250
9,0.73599591,0.56908716,1.89409792,1.06076458,10000,14508.94248386
10,0.72219249,0.56986003,1.87003568,1.03670235,10000,14465.65932857
