RepID,AvgQ,Utilization,AvgDelay,AvgWait,NumServed,SimTime
1,0.00445409,0.07633357,0.84751131,-0.06157960,477,5001.36434932
2,0.00922109,0.10100349,1.07527600,0.16618509,519,5033.47117621
3,0.00495782,0.09394855,0.94941632,0.04032542,527,5015.54881686
4,0.00815226,0.08808613,0.98106661,0.07197571,491,5004.22848783
5,0.00862765,0.08541987,1.01523410,0.10614319,464,5006.24314972
6,0.00748316,0.08174852,0.93932855,0.03023764,476,5003.31920989
7,0.01007098,0.08491032,1.03481466,0.12572375,459,5000.15412065
8,0.00649398,0.08142825,0.96562099,0.05653008,458,5019.96424997
9,0.00796336,0.09226947,1.00515501,0.09606410,499,5002.04473692
10,0.00857437,0.09228674,1.05071789,0.14162698,481,5004.52539727
